league,season,team,player_name,nation,position,age,date_of_birth,Playing Time_MP,Playing Time_Starts,minutes,Playing Time_90s,goals,assists,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,yellow_cards,red_cards,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,np_xg,xg,xa,np_goals,key_passes,xg_chain,xg_buildup,key_passes_per90,def_actions_per90,standard_position,position_source,is_official,data_completeness
Premier League,2425,Brighton,Harry Howell,ENG,FW,16.0,2008.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0143614057451486,0.0143614057451486,0.0,0.0,Winger,heuristic,False,1.0
Premier League,2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19.0,2005.0,26,22,1842,20.5,5,2,7,5,0,0,5,0,0.24,0.1,0.34,0.24,0.34,3.2537715872749686,3.2537715872749686,1.4211199935525656,5,16,9.028865553438663,7.109155820682645,0.7817589576547231,0.0,AM,heuristic,True,1.0
Premier League,2425,Brighton,Julio Enciso,PAR,MF,20.0,2004.0,12,2,294,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.7400452066212893,2.7400452066212893,2.227620951831341,2,18,6.231109814718366,2.7869491232559085,5.5102040816326525,0.0,AM,heuristic,False,1.0
Premier League,2425,Brighton,Yankuba Minteh,GAM,MF,20.0,2004.0,32,20,1838,20.4,6,4,10,6,0,0,6,0,0.29,0.2,0.49,0.29,0.49,5.669837724417448,5.669837724417448,4.871835011057556,6,28,14.345422247424722,4.895437384024262,1.3710554951033733,0.0,AM,heuristic,True,1.0
Premier League,2425,Brighton,Yasin Ayari,SWE,MF,20.0,2003.0,34,22,1965,21.8,2,1,3,2,0,0,3,0,0.09,0.05,0.14,0.09,0.14,2.234291661530733,2.234291661530733,3.114554302766919,2,28,10.207828298211098,7.504959750920534,1.2824427480916032,0.0,AM,heuristic,True,1.0
Premier League,2425,Chelsea,Marc Guiu,ESP,FW,18.0,2006.0,3,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0404958091676235,0,1,0.1076856106519699,0.1076856106519699,1.2328767123287672,0.0,Winger,heuristic,False,1.0
Premier League,2425,Chelsea,Mathis Amougou,FRA,MF,18.0,2006.0,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,CM,heuristic,False,1.0
Premier League,2425,Chelsea,Renato Veiga,POR,MF,21.0,2003.0,7,1,181,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1354483440518379,0.1354483440518379,0.0,0,0,0.8124905750155449,0.798570029437542,0.0,0.0,CM,heuristic,False,1.0
Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,20.0,2004.0,16,11,797,8.9,0,1,1,0,0,0,4,0,0.0,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,CM,heuristic,True,1.0
Premier League,2425,Chelsea,Shumaira Mheuka,ENG,FW,16.0,2007.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0250541865825653,0.0250541865825653,0.0,0,0,0.0,0.0,0.0,0.0,Winger,heuristic,False,1.0
