rank,player_name,age,standard_position,team,league,minutes,total_score,core_performance,behavior_score,age_score,reliability_score,league_score,risk_penalty,data_completeness,market_value,height
1,Nicolás Paz,19.0,Winger,Como,Serie A,2687,84.10481927710845,74.8995983935743,100.0,73.33333333333334,100.0,94.0,0.0,1.0,400000.0,180.0
2,Matìas Soulé,21.0,Winger,Roma,Serie A,1781,80.90449655765921,74.83935742971887,100.0,60.0,92.17857142857142,94.0,0.0,1.0,35000000.0,182.0
3,Kenan Yıldız,19.0,Winger,Juventus,Serie A,2402,80.10180722891567,72.6706827309237,100.0,73.33333333333334,100.0,94.0,-3.0,1.0,75000000.0,187.0
4,Santiago Castro,19.0,Winger,Bologna,Serie A,2294,76.59126743193247,61.325301204819276,90.63254593175853,73.33333333333334,100.0,94.0,0.0,1.0,32000000.0,179.0
5,Assane Diao,18.0,Winger,Como,Serie A,1252,76.3988812392427,64.45783132530121,100.0,80.0,73.28571428571428,94.0,0.0,1.0,30000000.0,185.0
