rank,player_name,age,standard_position,team,league,minutes,total_score,core_performance,behavior_score,age_score,reliability_score,league_score,risk_penalty,data_completeness,market_value,height
1,Rayan Cherki,20.0,AM,Lyon,Ligue 1,2041,86.46923076923078,82.82051282051283,100.0,66.66666666666666,100.0,92.0,0.0,1.0,90000000.0,177.0
2,Désiré Doué,19.0,Winger,Paris S-G,Ligue 1,1730,85.98248709122204,82.73092369477914,100.0,73.33333333333334,90.35714285714286,92.0,0.0,1.0,120000000.0,181.0
3,Bradley Barcola,21.0,Winger,Paris S-G,Ligue 1,2181,85.82650602409639,83.6144578313253,100.0,60.0,100.0,92.0,0.0,1.0,70000000.0,187.0
4,João Neves,19.0,CM,Paris S-G,Ligue 1,1844,84.29285714285716,77.61904761904762,100.0,73.33333333333334,94.42857142857143,92.0,0.0,1.0,140000000.0,171.0
5,Eliesse Ben Seghir,19.0,Winger,Monaco,Ligue 1,1750,82.0775817555938,73.8152610441767,100.0,73.33333333333334,91.07142857142857,92.0,0.0,1.0,20000000.0,178.0
