rank,player_name,age,standard_position,team,league,minutes,total_score,core_performance,behavior_score,age_score,reliability_score,league_score,risk_penalty,data_completeness,market_value,height
1,Florian Wirtz,21.0,AM,Leverkusen,Bundesliga,2351,87.70384615384616,87.56410256410258,100.0,60.0,100.0,93.0,0.0,1.0,100000000.0,177.0
2,Jamie Gittens,19.0,Winger,Dortmund,Bundesliga,1776,82.7777108433735,74.83935742971887,100.0,73.33333333333334,92.0,93.0,0.0,1.0,30000000.0,178.0
3,Xavi Simons,21.0,AM,RB Leipzig,Bundesliga,2150,81.50192307692309,73.7820512820513,100.0,60.0,100.0,93.0,0.0,1.0,40000000.0,179.0
4,Tom Bischof,19.0,CM,Hoffenheim,Bundesliga,2559,81.39285714285714,69.0952380952381,100.0,73.33333333333334,100.0,93.0,0.0,1.0,40000000.0,176.0
5,Jamal Musiala,21.0,AM,Bayern Munich,Bundesliga,1798,80.73708791208792,74.4871794871795,100.0,60.0,92.78571428571428,93.0,0.0,1.0,100000000.0,184.0
